Display_Name,Ontology_Geo_point,Geo_point,Start_Date,disaster_id,End_Date,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,ISO,Country,Subregion,Region,Location,Origin,Associated_Types,OFDABHA_Response,Appeal,Declaration,AID_Contribution_000_US,Magnitude,Magnitude_Scale,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected,Reconstruction_Costs_Adjusted_000_US,Insured_Damage_000_US,Insured_Damage_Adjusted_000_US,Total_Damage_000_US,Total_Damage_Adjusted_000_US,GADM_Admin_Units,Entry_Date,Last_Update,_newCountry,_newISO3,_newISO2
Lebanon -Explosion (Industrial) -2020-08-04,"33.8547210,35.8622850","{longitude=35.862285, latitude=33.854721}",2020-08-04,2020-0313-LBN,,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),Port warehouse,LBN,Lebanon,Western Asia,Asia,Beirut,,,No,No,Yes,,,m3,206,6000,,300000,306000,3030094.0,,,1.5E7,1.8180566E7,,2020-08-05,2023-09-25,Lebanon,LBN,LB
Lebanon -Explosion (Industrial) -2021-08-15,"33.8547210,35.8622850","{longitude=35.862285, latitude=33.854721}",2021-08-15,2021-0515-LBN,,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),Petrol tank,LBN,Lebanon,Western Asia,Asia,Akkar region,,,No,No,No,,,m3,32,80,,,80,,,,,,,2021-08-16,2023-09-25,Lebanon,LBN,LB
Lebanon -Epidemic -2022-10-01,"33.8547210,35.8622850","{longitude=35.862285, latitude=33.854721}",2022-10-01,2022-0594-LBN,,Natural,Biological,Epidemic,Bacterial disease,Cholera,LBN,Lebanon,Western Asia,Asia,Akkar Governorate,,,No,No,No,,,,11,803,,,803,,,,,,,2022-10-10,2025-03-18,Lebanon,LBN,LB
Lebanon -Extreme temperature -2024-01-24,"33.8547210,35.8622850","{longitude=35.862285, latitude=33.854721}",2024-01-24,2024-0072-LBN,,Natural,Meteorological,Extreme temperature,Cold wave,,LBN,Lebanon,Western Asia,Asia,"Bekaa, Mount Lebanon, North, South","Low depression accompanied by polar winds,",Flood|Snow/ice,No,No,No,,0.0,°C,,,2975000,,2975000,,,,,,,2024-02-12,2024-02-13,Lebanon,LBN,LB
Lebanon -Water -2009-12-17,"33.8547210,35.8622850","{longitude=35.862285, latitude=33.854721}",2009-12-17,2009-0568-LBN,,Technological,Transport,Water,Water,"Boat ""Danny F II""",LBN,Lebanon,Western Asia,Asia,"Banyas, Jabli, Lattakia",Bad weather,,No,No,No,,,,44,,39,,39,,,,,,,2010-03-22,2023-09-25,Lebanon,LBN,LB
Lebanon -Air -2010-01-25,"33.8547210,35.8622850","{longitude=35.862285, latitude=33.854721}",2010-01-25,2010-0035-LBN,,Technological,Transport,Air,Air,Being 737-800,LBN,Lebanon,Western Asia,Asia,Beyrouth,,,No,No,No,,,,90,,,,,,,,,,,2010-02-24,2023-09-25,Lebanon,LBN,LB
Lebanon -Flood -2003-02-01,"33.8547210,35.8622850","{longitude=35.862285, latitude=33.854721}",2003-02-01,2003-0096-LBN,,Natural,Hydrological,Flood,Riverine flood,,LBN,Lebanon,Western Asia,Asia,"Baalbek, Hermel, West Bekaa, Zahle districts (Bekaa province), Akkar district (North province)","Torrential rains, heavy winter storms",,Yes,No,No,,,Km2,,,17000,,17000,,,,,,"[{""gid_2"":""LBN.1.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Akkar""},{""gid_2"":""LBN.2.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Baalbeck""},{""gid_2"":""LBN.2.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hermel""},{""gid_2"":""LBN.4.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""West Bekaa""},{""gid_2"":""LBN.4.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Zahleh""}]",2004-08-24,2025-12-20,Lebanon,LBN,LB
Republic of Moldova -Storm -2000-11-26,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2000-11-26,2000-0807-MDA,,Natural,Meteorological,Storm,Blizzard/Winter storm,,MDA,Republic of Moldova,Eastern Europe,Europe,"Orhei, Soroca, Edinets, Chisinau, Ungheni, Balti, Dubasari provinces",,,Yes,No,No,2761,,Kph,,,2600000,,2600000,,,,31600.0,57564.0,"[{""gid_1"":""MDA.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Chişinău""},{""gid_1"":""MDA.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Criuleni""},{""gid_1"":""MDA.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Donduseni""},{""gid_1"":""MDA.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Drochia""},{""gid_1"":""MDA.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Dubăsari""},{""gid_1"":""MDA.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Edineţ""},{""gid_1"":""MDA.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Făleşti""},{""gid_1"":""MDA.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Floreşti""},{""gid_1"":""MDA.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Anenii Noi""},{""gid_1"":""MDA.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Glodeni""},{""gid_1"":""MDA.22_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Ialoveni""},{""gid_1"":""MDA.24_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Nisporeni""},{""gid_1"":""MDA.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Ocniţa""},{""gid_1"":""MDA.26_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Orhei""},{""gid_1"":""MDA.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Rezina""},{""gid_1"":""MDA.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Rîşcani""},{""gid_1"":""MDA.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Sîngerei""},{""gid_1"":""MDA.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Bălţi""},{""gid_1"":""MDA.30_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Şoldăneşti""},{""gid_1"":""MDA.31_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Soroca""},{""gid_1"":""MDA.33_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Străşeni""},{""gid_1"":""MDA.35_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Teleneşti""},{""gid_1"":""MDA.36_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Transnistria""},{""gid_1"":""MDA.37_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Ungheni""},{""gid_1"":""MDA.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Bender""},{""gid_1"":""MDA.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Briceni""},{""gid_1"":""MDA.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Calarasi""}]",2005-12-16,2025-12-20,Moldova,MDA,MD
Republic of Moldova -Flood -2002-06-01,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2002-06-01,2002-0381-MDA,,Natural,Hydrological,Flood,Flood (General),,MDA,Republic of Moldova,Eastern Europe,Europe,"Tighina, Lapusna, Gagauzia provinces",,,No,No,No,,47.0,Km2,1,,500,,500,,,,832.0,1451.0,"[{""gid_1"":""MDA.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Cimişlia""},{""gid_1"":""MDA.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus1"",""name_1"":""Găgăuzia""},{""gid_1"":""MDA.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Hîncesti""},{""gid_1"":""MDA.23_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Leova""},{""gid_1"":""MDA.32_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Ştefan Voda""},{""gid_1"":""MDA.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Basarabeasca""},{""gid_1"":""MDA.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Causeni""}]",2003-07-01,2025-12-20,Moldova,MDA,MD
Republic of Moldova -Drought -2000-05-01,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2000-05-01,2000-9318-MDA,,Natural,Climatological,Drought,Drought,,MDA,Republic of Moldova,Eastern Europe,Europe,"Balti, Cahul, Chisinau, Dubasari, Edinet, Gagauzia, Lapusna, Orhei, Soroca, Tighina, Ungheni provinces",,,No,No,No,,,Km2,2,,,,,,,,,,"[{""gid_1"":""MDA.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Chişinău""},{""gid_1"":""MDA.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Cimişlia""},{""gid_1"":""MDA.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Criuleni""},{""gid_1"":""MDA.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Donduseni""},{""gid_1"":""MDA.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Drochia""},{""gid_1"":""MDA.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Dubăsari""},{""gid_1"":""MDA.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Edineţ""},{""gid_1"":""MDA.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Făleşti""},{""gid_1"":""MDA.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Floreşti""},{""gid_1"":""MDA.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus1"",""name_1"":""Găgăuzia""},{""gid_1"":""MDA.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Anenii Noi""},{""gid_1"":""MDA.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Glodeni""},{""gid_1"":""MDA.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Hîncesti""},{""gid_1"":""MDA.22_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Ialoveni""},{""gid_1"":""MDA.23_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Leova""},{""gid_1"":""MDA.24_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Nisporeni""},{""gid_1"":""MDA.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Ocniţa""},{""gid_1"":""MDA.26_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Orhei""},{""gid_1"":""MDA.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Rezina""},{""gid_1"":""MDA.28_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Rîşcani""},{""gid_1"":""MDA.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Sîngerei""},{""gid_1"":""MDA.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Bălţi""},{""gid_1"":""MDA.30_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Şoldăneşti""},{""gid_1"":""MDA.31_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Soroca""},{""gid_1"":""MDA.32_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Ştefan Voda""},{""gid_1"":""MDA.33_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Străşeni""},{""gid_1"":""MDA.34_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Taraclia""},{""gid_1"":""MDA.35_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Teleneşti""},{""gid_1"":""MDA.36_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Transnistria""},{""gid_1"":""MDA.37_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Ungheni""},{""gid_1"":""MDA.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Basarabeasca""},{""gid_1"":""MDA.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Bender""},{""gid_1"":""MDA.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Briceni""},{""gid_1"":""MDA.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Cahul""},{""gid_1"":""MDA.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Calarasi""},{""gid_1"":""MDA.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Cantemir""},{""gid_1"":""MDA.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Causeni""}]",2006-09-14,2025-12-20,Moldova,MDA,MD
Republic of Moldova -Extreme temperature -2019-01-11,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2019-01-11,2019-0055-MDA,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,MDA,Republic of Moldova,Eastern Europe,Europe,"Edinet, Telenesti, Calaras, Ungheni, Basarabeasca, Criuleni, Anenii Noi",,Cold wave,No,No,No,,,°C,,,5460,,5460,,,,,,,2019-02-08,2023-09-25,Moldova,MDA,MD
Republic of Moldova -Storm -2023-11-26,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2023-11-26,2023-0804-MDA,,Natural,Meteorological,Storm,Blizzard/Winter storm,Storm 'Bettina',MDA,Republic of Moldova,Eastern Europe,Europe,"Coscalia, Cruglic, Grigoriopol",,,No,No,No,,,Kph,4,10,,,10,,,,,,,2023-11-28,2023-12-01,Moldova,MDA,MD
Republic of Moldova -Flood -2010-07-05,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2010-07-05,2010-0278-MDA,,Natural,Hydrological,Flood,Riverine flood,,MDA,Republic of Moldova,Eastern Europe,Europe,"Nemteni, Cotul Marii, Obileni, Saretani municipalities (Hincesti district, Lapusna province), Sirauti, Drepcauti, Criva municipalities (Briceni district, Edinet province), Grozesti municipality (Nisporeni district), Macaresti municipality (Ungheni district) (Ungheni province), Brinza municipality (Vulcanesti district, Cahul province), Criuleni municipality (Dubasari district, Dubasari province)",Heavy rains,,Yes,No,Yes,,12210.0,Km2,1,,12000,,12000,,,,,,,2014-07-28,2023-09-25,Moldova,MDA,MD
Republic of Moldova -Extreme temperature -2012-01-30,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2012-01-30,2012-0019-MDA,,Natural,Meteorological,Extreme temperature,Cold wave,,MDA,Republic of Moldova,Eastern Europe,Europe,"Soroca, Soldanesti districts (Soroca province), Ocnita, Briceni, Donduseni districts (Edinet province), Singerei, Glodeni, Balti, Falesti, Riscani districts (Balti province), Comrat district (Gagauzia province), Basarabeasca district (Lapusna province), Bender city (Slobozia district, Dubasari province)",,,No,No,No,,,°C,10,,7374,,7374,,,,,,,2012-11-19,2023-09-25,Moldova,MDA,MD
Republic of Moldova -Road -2012-08-09,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2012-08-09,2012-0289-MDA,,Technological,Transport,Road,Road,,MDA,Republic of Moldova,Eastern Europe,Europe,Center,,,No,No,No,,,,11,30,,,30,,,,,,,2012-08-13,2023-09-25,Moldova,MDA,MD
Republic of Moldova -Drought -2012-11-01,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2012-11-01,2012-9478-MDA,,Natural,Climatological,Drought,Drought,,MDA,Republic of Moldova,Eastern Europe,Europe,"Falesti district (Balti province), Vulcanesti district (Cahul province), Chisinau, Criuleni, Ialoveni districts (Chisinau province), Ciadir-Lunga district (Gagauzia province), Basarabeasca district (Lapusna province), Orhei, Rezina, Telenesti districts (Orhei province), Ungheni district (Ungheni province)",Combined impact of poor rainfall and extremely high temperatures,,No,No,No,,,Km2,,,5800,,5800,,,,,,,2012-12-19,2023-09-25,Moldova,MDA,MD
Republic of Moldova -Flood -2005-08-18,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2005-08-18,2005-0519-MDA,,Natural,Hydrological,Flood,Riverine flood,,MDA,Republic of Moldova,Eastern Europe,Europe,"Edinet, Briceni districts (Edinet province), Nisporeni district (Ungheni province), Criuleni, Chisinau districts (Chisinau province), Riscani, Balti districts (Balti province)",Heavy rains and storms,,No,No,No,,,Km2,,,6500,,6500,,,,7752.0,12452.0,,2005-09-13,2025-06-25,Moldova,MDA,MD
Republic of Moldova -Extreme temperature -2006-01-20,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2006-01-20,2005-0713-MDA,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,MDA,Republic of Moldova,Eastern Europe,Europe,Chisinau province,,Snow/ice,No,No,No,,-30.0,°C,13,,,,,,,,,,,2007-01-12,2023-09-25,Moldova,MDA,MD
Republic of Moldova -Drought,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",,2007-9677-MDA,,Natural,Climatological,Drought,Drought,,MDA,Republic of Moldova,Eastern Europe,Europe,Dubasari province (Transnitria region),High temperature and low rainfall,Food shortage,Yes,No,No,,,Km2,,,210394,,210394,,,,406000.0,614239.0,,2009-05-27,2023-09-25,Moldova,MDA,MD
Republic of Moldova -Flood -2008-07-26,"47.4116310,28.3698850","{longitude=28.369885, latitude=47.411631}",2008-07-26,2008-0306-MDA,,Natural,Hydrological,Flood,Riverine flood,,MDA,Republic of Moldova,Eastern Europe,Europe,"Riscani, Glodeni, Falesti districts (Balti province), Soroca, Soldanesti districts (Soroca province), Anenii Noi district (Chisinau province), Ocnita, Briceni districts (Edinet province)",,Rain,Yes,No,No,,,Km2,3,,4000,,4000,,,,,,,2009-05-27,2025-07-25,Moldova,MDA,MD
New Zealand -Storm -2003-10-03,"-40.9005570,174.8859710","{longitude=174.885971, latitude=-40.900557}",2003-10-03,2003-0490-NZL,,Natural,Meteorological,Storm,Storm (General),,NZL,New Zealand,Australia and New Zealand,Oceania,Kapiti Coast District area (Wellington province),,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,,,Kph,2,,,,,,,,3000.0,5116.0,"[{""gid_1"":""NZL.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Wellington""},{""gid_1"":""NZL.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Chatham Islands""}]",2004-01-30,2025-12-20,New Zealand,NZL,NZ
New Zealand -Earthquake -2013-07-21,"-40.9005570,174.8859710","{longitude=174.885971, latitude=-40.900557}",2013-07-21,2013-0268-NZL,,Natural,Geophysical,Earthquake,Ground movement,,NZL,New Zealand,Australia and New Zealand,Oceania,"Wellington's Central Business Center, Paraparaumu, Wainuiomata, Porirua, Hutt Valley areas (Wellington province)",,,No,No,No,,6.5,Moment Magnitude,,4,13836,,13840,,11800.0,15889.0,50000.0,67328.0,"[{""gid_2"":""NZL.18.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Carterton""},{""gid_2"":""NZL.18.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Kapiti Coast""},{""gid_2"":""NZL.18.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Lower Hutt""},{""gid_2"":""NZL.18.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Masterton""},{""gid_2"":""NZL.18.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Porirua""},{""gid_2"":""NZL.18.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""South Wairarapa""},{""gid_2"":""NZL.18.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Upper Hutt""},{""gid_2"":""NZL.18.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Wellington""},{""gid_2"":""NZL.4.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Chatham Islands""}]",2013-08-12,2025-12-20,New Zealand,NZL,NZ
New Zealand -Flood -2021-07-15,"-40.9005570,174.8859710","{longitude=174.885971, latitude=-40.900557}",2021-07-15,2021-0499-NZL,,Natural,Hydrological,Flood,Flood (General),,NZL,New Zealand,Australia and New Zealand,Oceania,Marlborough and Buller districts,,"Slide (land, mud, snow, rock)",No,No,Yes,,,Km2,,,200,,200,,,,140000.0,162071.0,"[{""gid_1"":""NZL.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""West Coast""},{""gid_2"":""NZL.16.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Tasman""},{""gid_2"":""NZL.3.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Kaikoura""},{""gid_2"":""NZL.8.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Marlborough""},{""gid_2"":""NZL.9.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Nelson""}]",2021-08-12,2025-12-20,New Zealand,NZL,NZ
New Zealand -Flood -2017-04-05,"-40.9005570,174.8859710","{longitude=174.885971, latitude=-40.900557}",2017-04-05,2017-0222-NZL,,Natural,Hydrological,Flood,Flood (General),,NZL,New Zealand,Australia and New Zealand,Oceania,"North Coast, North Island. From Auckland to Wellington, Titirangi, Kohimarama , Manawatu-Wanganui Region, Whanganui, Rangitikei, Whakat?ne districts, Bay of Plenty, Edgecumbe city, Minginui, Ruat?huna, Te Wh?iti and R??toki communities",Heavy rains,"Slide (land, mud, snow, rock)",No,No,Yes,,23530.76,Km2,,,2200,,2200,,65000.0,83183.0,71000.0,90861.0,"[{""gid_1"":""NZL.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Waikato""},{""gid_1"":""NZL.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Wellington""},{""gid_1"":""NZL.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Auckland""},{""gid_1"":""NZL.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Bay of Plenty""},{""gid_1"":""NZL.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Chatham Islands""},{""gid_1"":""NZL.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Manawatu-Wanganui""}]",2017-06-28,2025-12-20,New Zealand,NZL,NZ
New Zealand -Storm -2022-08-15,"-40.9005570,174.8859710","{longitude=174.885971, latitude=-40.900557}",2022-08-15,2022-0522-NZL,,Natural,Meteorological,Storm,Severe weather,,NZL,New Zealand,Australia and New Zealand,Oceania,Nelson-Tasman and West Coast regions,,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,,,Kph,,,690,,690,,,,,,,2022-08-18,2023-09-26,New Zealand,NZL,NZ
New Zealand -Flood -2020-11-09,"-40.9005570,174.8859710","{longitude=174.885971, latitude=-40.900557}",2020-11-09,2020-0543-NZL,,Natural,Hydrological,Flood,Flood (General),,NZL,New Zealand,Australia and New Zealand,Oceania,Napier (Hawke’s Bay region),Heavy rains,,No,No,Yes,,,Km2,,,300,,300,,,,71000.0,86055.0,"[{""gid_1"":""NZL.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Hawke's Bay""}]",2020-12-10,2025-12-20,New Zealand,NZL,NZ
New Zealand -Water -2003-04-16,"-40.9005570,174.8859710","{longitude=174.885971, latitude=-40.900557}",2003-04-16,2003-0230-NZL,,Technological,Transport,Water,Water,"Vessel ""Lih Fa""",NZL,New Zealand,Australia and New Zealand,Oceania,Tasman sea,,,No,No,No,,,,18,,,,,,,,,,,2003-10-08,2023-09-25,New Zealand,NZL,NZ
New Zealand -Storm -2013-09-10,"-40.9005570,174.8859710","{longitude=174.885971, latitude=-40.900557}",2013-09-10,2013-0421-NZL,,Natural,Meteorological,Storm,Storm (General),,NZL,New Zealand,Australia and New Zealand,Oceania,"Canterbury, Wellington, Hawke's Bay, East Cape provinces",,,No,No,No,,,Kph,,,,,,,,,20000.0,26931.0,"[{""gid_1"":""NZL.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Wellington""},{""gid_1"":""NZL.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Canterbury""},{""gid_1"":""NZL.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Chatham Islands""},{""gid_1"":""NZL.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Gisborne""},{""gid_1"":""NZL.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Hawke's Bay""}]",2013-10-28,2025-12-20,New Zealand,NZL,NZ
